id;created_at;text;lang;retweets;user_id;user_name;user_followers;user_friends;user_location
1367152967460261889;2021-03-03 16:40:42;"""RT @BahamaBen9: What is the best under the radar company you own?

E.g. $AVLR, $BL, $STNE""";en;15;1321032893527973888;BahamaBen;3;31;
1367152554489090048;2021-03-03 16:39:04;"""RT @BahamaBen9: Multi-bagger holdings for 2020;

$RDFN, $SQ, $AAPL, $FSLY, $STNE, $TWLO, $LVGO, $PTON, $SHOP, $SPOT, $PINS, $MELI, $TTD, $S…""";en;2;1321032893527973888;BahamaBen;3;31;
1367152059536076804;2021-03-03 16:37:06;"""RT @BahamaBen9: - Major trends for 2021 -
My favorite picks (in order)

Cybersecurity: $CRWD $ZS $OKTA
Real estate tech: $RDFN $Z $OPEN
E-c…""";en;80;1321032893527973888;BahamaBen;3;31;
1367151523487232006;2021-03-03 16:34:58;"""RT @BahamaBen9: Updated portfolio -

$RDFN $SQ $SHOP $PTON $TSLA $DOCU $AMZN $AAPL $PINS $SE $MELI $CRWD $TWLO $ETSY $CRM $GBTC $TTD $STNE…""";pl;8;1321032893527973888;BahamaBen;3;31;
1367150849152090113;2021-03-03 16:32:17;"""Free entries &amp; exits given daily!

Discord:

$ABUS $JDST $VXRT $LEJU $EMAN $TVIX $INPX $FUV $MRNA $HMHC $W $TRIP… https://t.co/sS3Z6dga7x""";en;0;1351544588519915520;Vijay;388;0;
1367150598366392323;2021-03-03 16:31:17;"""RT @BahamaBen9: 16. $STNE - 1.8%
17. $ETSY - 1.8%
18. $TDOC - 1.7%
19. $TWLO - 1.4%
20. $ROKU - 1.4%
21. $GBTC - 1.3%
22. $NOW - 1.2%
23. $…""";pl;2;1321032893527973888;BahamaBen;3;31;
1367150259244331013;2021-03-03 16:29:56;"""RT @BahamaBen9: I bought $STNE earlier this year at 20$ a share. I wrongly sold it after a gain. It took me a a few weeks to rectify my mis…""";en;2;1321032893527973888;BahamaBen;3;31;
1367150201694261254;2021-03-03 16:29:43;"""I’m sitting out for a couple of weeks, papertrading some straddles around $STNE , $ULTA and $DOCU earnings in the m… https://t.co/csBuPSJUmP""";en;0;1340410032236728326;PaulTudorJonesFan;62;53;
1367149920835223558;2021-03-03 16:28:36;"""RT @BahamaBen9: Over the past two weeks I've added to my holdings - $DOCU, $SHOP, $TWLO, $SE, $CRWD, $ZM, $DKNG, $TSLA, $TDOC and $STNE""";en;6;1321032893527973888;BahamaBen;3;31;
1367149463144382469;2021-03-03 16:26:47;"""RT @BahamaBen9: 16. $ROKU - 1.3%
17. $STNE - 1.3%
18. $NOW - 1.3%
19. $MSFT - 1.2%
20. $CRWD - 1.2%
21. $ZS - 1.1%
22. $ETSY - 1.1%
23. $WD…""";pl;2;1321032893527973888;BahamaBen;3;31;
